"","source","target","mor"
"447","TP53","NFKB1",1
"448","NFKB1","TP53",1
"449","TP53","RELA",1
"450","RELA","TP53",1
"451","CRX","GRB10",1
"452","JUN","GSC",1
"453","JUN","GHRHR",1
"454","TP63","IL12B",1
"455","NFKBIB","NOS2",1
"456","NR2F2","ALDH2",1
"457","AHR","ALDH3A1",1
"458","OTX2","GRB10",1
"459","HOXC6","NCAM1",1
"460","HR","NCAM1",1
"461","FOXO1","IGFBP1",1
"462","STAT1","CSN2",1
"463","STAT5A","CSN2",1
"464","STAT5B","CSN2",1
"465","GATA4","FGF3",1
"466","IRF1","CCL4",1
"467","IRF8","SAMHD1",1
"468","TP53","PGAM2",1
"469","SPI1","UTRN",1
"470","AHR","CYP1A1",1
"471","PITX2","SIGLEC1",1
"472","NR5A2","CYP7A1",-1
"473","STAT1","SOCS3",1
"474","STAT3","SOCS3",1
"475","POU2F1","IL5",1
"476","YY1","IL5",1
"477","SP1","CCND3",1
"478","RARA","PLAU",1
"479","SP1","PLAU",1
"480","LEF1","MMP7",1
"481","SPI1","BTK",1
"482","SP1","BTK",1
"483","SP3","BTK",1
"484","SP1","SP3",1
"485","SP3","SP1",1
"486","XBP1","EGFR",1
"487","STAT6","IL4",1
"488","STAT6","SELP",1
"489","SREBF1","APOA2",1
"490","SP1","SLC2A1",1
"491","CEBPB","FSHB",1
"492","GATA4","STAR",1
"493","EGR1","MMP12",-1
"494","TCF3","EMC7",1
"495","CEBPG","HP",1
"496","LRRFIP1","PDGFA",-1
"497","EGR1","PDGFA",1
"498","SP1","PDGFA",1
"499","TP53","IL6",-1
"500","TCF12","NEUROD1",1
"501","JUN","ABCB1",-1
"502","RELA","CD40LG",1
"503","IKZF3","BCL2",1
"504","SP1","ABCC8",1
"505","STAT5A","GH1",1
"506","STAT5A","INS",1
"507","STAT5A","PRL",1
"508","STAT5A","PRLR",1
"509","STAT5B","GH1",1
"510","STAT5B","INS",1
"511","STAT5B","PRL",1
"512","STAT5B","PRLR",1
"513","NFKBIB","PLG",1
"514","E4F1","PVR",1
"515","SP1","CEBPA",-1
"516","CEBPB","SP1",1
"517","SP1","CEBPD",1
"518","CEBPD","SP1",1
"519","GTF2I","BTK",1
"520","NR3C1","BCL2",-1
"521","HOXB1","CD1A",1
"522","STAT6","CREBBP",1
"523","RBPJ","IL6",1
"524","SP1","ODC1",1
"525","SP3","ODC1",-1
"526","JUN","IGFBP1",-1
"527","MYC","ACTB",1
"528","MYC","BRCA1",1
"529","BRCA1","MYC",1
"530","NR5A1","CYP19A1",1
"531","ENO1","IL6",1
"532","XBP1","IL6",-1
"533","ZNF362","NODAL",1
"534","PPARA","VCAM1",-1
"535","ESR1","NRIP1",1
"536","MYC","BIN1",1
"537","MYC","ODC1",1
"538","MYC","PTMA",1
"539","NRF1","CXCR4",1
"540","GATA1","BCL2L1",1
"541","MYCN","NDRG1",-1
"542","MYC","NDRG1",-1
"543","MAX","NDRG1",-1
"544","PKNOX1","HOXB1",1
"545","NR4A3","IL2",1
"546","NR4A3","IL4",1
"547","NR4A3","ITK",1
"548","NR4A3","CD28",1
"549","TP63","CDKN1A",1
"550","NRG1","PXN",1
"551","SSRP1","MAPK8",1
"552","SSRP1","TRAF1",1
"553","SP1","CYP11A1",1
"554","MAZ","MYC",1
"555","ZNF91","MYC",-1
"556","TBP","ACHE",1
"557","SSRP1","INS",1
"558","ESR1","COMT",1
"559","SPI1","TIMP1",1
"560","POU1F1","GH1",1
"561","NR2C1","HRH1",-1
"562","ATF1","EGR1",1
"563","CREB1","EGR1",1
"564","ATF1","MAP2K2",1
"565","ID3","BMP4",1
"566","ID2","ID3",1
"567","ID3","ID2",1
"568","ERF","CRYAA",1
"569","JUN","CRYAA",1
"570","EGR1","ABCB1",1
"571","ZNF354C","ABCB1",1
"572","WT1","ABCB1",1
"573","USF1","PDX1",1
"574","YY1","CETP",1
"575","SREBF1","CETP",1
"576","EGR1","EGF",1
"577","EGR1","TKT",1
"578","ELF1","FCGRT",-1
"579","ELF1","IGHE",1
"580","GATA1","FCGRT",1
"581","GATA1","IGHE",1
"582","HMGA1","LY6E",1
"583","HMGA2","LY6E",1
"584","POU2F1","LY6E",1
"585","POU2F2","LY6E",1
"586","GATA1","EPB42",1
"587","PHOX2B","DBH",1
"588","PHOX2B","FOS",1
"589","POU1F1","PRDX6",1
"590","SP1","PRDX6",1
"591","CREB1","MYB",1
"592","SREBF2","KPNB1",1
"593","AHR","CDKN1B",1
"594","ELF1","LYZ",1
"595","ELF4","LYZ",1
"596","SREBF1","SCD5",1
"597","TP53","GABRA6",1
"598","TP53","TUBB3",1
"599","TTF1","SLC5A5",1
"600","DLX4","GATA1",1
"601","STAT1","CD40",1
"602","NR0B1","STAR",-1
"603","AR","STAR",1
"604","NR1I2","CYP3A4",1
"605","HNF1A","CYP7A1",1
"606","NR1H3","CYP7A1",1
"607","NR2F2","CYP7A1",1
"608","IRF1","TNF",1
"609","MITF","TPSB2",1
"610","STAT5A","HSD3B2",1
"611","MAX","STAT5A",1
"612","CREB1","PRL",1
"613","NCOA1","PRL",1
"614","NR4A1","PRL",1
"615","VDR","PRL",1
"616","NCOR1","MYOD1",1
"617","STAT1","IFNA1",1
"618","WT1","BCL2",1
"619","FOS","CLU",-1
"620","FOSL1","CLU",1
"621","JUNB","CLU",1
"622","CREB1","TH",1
"623","JUN","SFTPB",-1
"624","PAX6","UNC5C",1
"625","ASCL1","EHD1",1
"626","MTF2","ACE2",1
"627","CREM","INS",1
"628","CREM","TAF4",1
"629","TBP","INS",1
"630","SREBF1","PPARG",1
"631","PPARG","SREBF1",1
"632","PPARG","SREBF2",-1
"633","SREBF2","PPARG",1
"634","ESR1","CKB",1
"635","ESR2","OXT",1
"636","PAX3","PDGFRA",-1
"637","CEBPG","HPN",1
"638","SP1","HPN",1
"639","TFAP2A","HPN",1
"640","SP1","ABCB1",1
"641","YBX1","ABCB1",1
"642","JUN","SPI1",1
"643","SPI1","JUN",1
"644","USF1","SPP1",1
"645","HIF1A","VEGFA",1
"646","SMAD4","CDKN1A",1
"647","PDX1","S100G",1
"648","VDR","S100G",1
"649","DNMT1","CFTR",1
"650","KLF5","MYH10",1
"651","KLF5","GZMA",1
"652","ESR1","C3",1
"653","NR3C1","CSN2",1
"654","NR3C2","CSN2",1
"655","PGR","CSN2",-1
"656","EGR1","TNF",1
"657","TBP","SNAP25",1
"658","IRF1","IL18",1
"659","STAT5A","IL4",1
"660","STAT5B","IL4",1
"661","SP1","FN1",1
"662","DLX4","THEG",1
"663","ZBTB12","THEG",1
"664","DLX4","FN1",1
"665","FOS","FN1",1
"666","JUN","FN1",1
"667","MYC","FN1",-1
"668","ZBTB12","FN1",1
"669","PPARG","FABP4",1
"670","PDX1","PRKCG",1
"671","PDX1","PSMA5",1
"672","STAT5A","BCL2L1",1
"673","SP1","LEP",1
"674","STAT5A","OSM",1
"675","EGR1","MMP14",1
"676","ESR1","SPP1",1
"677","ESR2","SPP1",1
"678","MYRF","COL5A2",1
"679","PPARG","CD36",1
"680","POU2F2","TGFA",1
"681","PDX1","GFAP",1
"682","STAT1","PTGS2",1
"683","STAT5A","PTGS2",1
"684","SSRP1","HES1",1
"685","SSRP1","HES5",1
"686","SSRP1","NOTCH3",1
"687","CEBPB","IL6",-1
"688","TP53","PVR",1
"689","PAX5","CD79A",1
"690","PAX5","RAG2",1
"691","PAX5","EBF1",1
"692","EBF1","PAX5",1
"693","TP53","CREBBP",1
"694","CREBBP","TP53",1
"695","ETS1","PARP1",1
"696","TP53","ACHE",1
"697","TP53","AQP1",1
"698","TP73","AQP1",1
"699","TP73","CREBBP",1
"700","TP73","GADD45A",1
"701","POU2F1","CXCL8",-1
"702","POU2F1","HLA-DRA",-1
"703","ETS1","MGAT5",1
"704","JUN","MGAT5",1
"705","NFYA","CDK1",-1
"706","CEBPG","CD14",1
"707","CEBPB","PRG2",1
"708","GATA1","PRG2",1
"709","GATA1","MBP",1
"710","ZFPM1","MBP",1
"711","CEBPG","MBP",1
"712","CEBPB","MBP",1
"713","PDX1","GCG",1
"714","PDX1","PIK3C3",1
"715","CEBPB","HSP90AA1",1
"716","STAT3","HSP90AA1",1
"717","STAT1","HSP90AA1",-1
"718","STAT1","HSPA4",1
"719","HSF1","HSP90AA1",1
"720","HSF1","HSPA4",1
"721","STAT3","HSPA4",1
"722","CEBPB","HP",1
"723","CEBPB","MAPK1",1
"724","STAT3","HP",1
"725","TEAD2","TP53",1
"726","HIF1A","TFRC",1
"727","MYC","HSPA4",1
"728","SP1","PSEN1",1
"729","NR0B1","NR5A1",-1
"730","NR5A1","NR0B1",1
"731","ESR1","TNFRSF11A",1
"732","SP1","SLC25A5",1
"733","SP1","TNFRSF11A",1
"734","ESR1","E2F1",1
"735","SP1","E2F1",1
"736","SP3","CYP11A1",1
"737","TFAP2A","CYP11A1",1
"738","SP1","SPI1",1
"739","SPI1","SP1",1
"740","SPI1","SP3",1
"741","SP3","SPI1",1
"742","SPI1","CYP11A1",1
"743","STAT3","HSP90AB1",1
"744","ZNF281","ODC1",1
"745","ZNF148","ODC1",1
"746","ZNF148","GAST",1
"747","MAZ","PDIK1L",1
"748","TP53","KRAS",1
"749","TFAM","SLC25A5",1
"750","SP1","PLAT",1
"751","SP3","PLAT",1
"752","SPI1","CSF2RB",1
"753","IRF4","IL1B",1
"754","IRF8","IL1B",1
"755","SPI1","IL1B",1
"756","IRF2","IFNG",1
"757","SP1","NFKBIA",1
"758","AR","DNM1L",1
"759","AR","SRC",1
"760","NCOA1","MSH6",1
"761","NCOA1","PSMD4",1
"762","NCOA2","DNM1L",1
"763","NCOA2","MSH6",1
"764","NCOA2","PSMD4",1
"765","NCOA2","SRC",1
"766","SP1","RECK",1
"767","RUNX1","BLK",1
"768","PAX5","BLK",1
"769","SREBF2","LDLR",1
"770","FOXA1","AFP",1
"771","NR4A2","TH",1
"772","SPI1","TH",1
"773","SP1","MBP",1
"774","NR0B2","SYK",1
"775","NR0B2","IL2",1
"776","PGR","IGFBP1",1
"777","NR5A1","CYP11A1",1
"778","CEBPB","CXCL8",1
"779","HNF1A","UGT1A1",1
"780","NFKB1","CCND1",1
"781","RELA","CCND1",1
"782","CEBPD","IL1B",1
"783","CEBPB","IL1B",1
"784","ESR2","FSHB",1
"785","TP53","BAG1",-1
"786","RELA","PLAU",1
"787","KLF1","HBB",1
"788","REL","CCL2",1
"789","RELA","CCL2",1
"790","TP53","MDM4",1
"791","TP73","MDM4",1
"792","WT1","MYCN",-1
"793","AHR","CTSD",1
"794","ARNT","CTSD",1
"795","CREB1","JUN",-1
"796","SP1","HMGA2",1
"797","SP3","HMGA2",1
"798","CEBPG","PCK1",1
"799","DDIT3","HSPA4",1
"800","FOS","HSPA5",1
"801","PGR","IGFBP5",1
"802","CEBPG","STAR",1
"803","NRG1","EGF",1
"804","NRG1","PIK3R1",1
"805","PPARA","EDN1",-1
"806","ATF2","EP300",1
"807","GATA4","ANKRD1",1
"808","NKX2-5","ANKRD1",1
"809","NFATC2","XCL1",1
"810","RELA","CXCL8",1
"811","LHX3","ESR1",1
"812","NR5A1","SCARB1",1
"813","NFIC","AR",1
"814","TP53","IL2",-1
"815","FOS","CCND2",1
"816","TFAP2A","IL3",1
"817","YY1","IL3",1
"818","PAX3","TYRP1",1
"819","PAX3","FN1",1
"820","MITF","PAX3",1
"821","PAX3","MITF",1
"822","CTCF","LYZ",1
"823","RELA","TNF",1
"824","NFKB1","TNF",1
"825","STAT5A","IL7R",1
"826","CEBPB","CETP",1
"827","CEBPG","CETP",1
"828","WT1","AREG",1
"829","DBP","CYP2A13",1
"830","DBP","IGKV2D-26",1
"831","NFIC","CYP1A1",-1
"832","PITX2","PRL",1
"833","BCL6","IL4",1
"834","BCL6","STAT6",1
"835","STAT6","BCL6",1
"836","BCL6","IGHE",1
"837","RB1","E2F1",-1
"838","E2F1","RB1",1
"839","SP1","LHCGR",1
"840","SP3","LHCGR",1
"841","HNF1B","INS",1
"842","HNF4A","INS",1
"843","TFCP2","HBA1",1
"844","REST","GRIA2",-1
"845","ESRRA","CYP19A1",1
"846","HOXD3","PLAU",1
"847","SP1","PDLIM7",1
"848","SP3","PDLIM7",1
"849","IRF9","IFNL3",1
"850","TFE3","SLC34A1",1
"851","NR2F2","PKLR",-1
"852","ZNF236","PKLR",1
"853","USF1","PKLR",1
"854","JUNB","IL6",-1
"855","STAT3","JUNB",1
"856","SP1","CCND1",1
"857","TFAP2A","MXI1",1
"858","ESR1","TFAP2A",1
"859","TFAP2A","ESR1",1
"860","ESR1","TFAP2C",1
"861","TFAP2C","ESR1",1
"862","IRF1","SLPI",-1
"863","CEBPA","PRL",1
"864","DDIT3","PRL",1
"865","PAX8","TNF",1
"866","PAX8","TG",1
"867","TTF1","TG",1
"868","NKX2-1","TG",1
"869","NKX2-1","TNF",1
"870","TTF1","TNF",1
"871","WT1","IGF1R",-1
"872","PGR","PRL",-1
"873","ESR1","CCND1",1
"874","PBX1","PREB",1
"875","TCF3","PREB",1
"876","PBX1","WNT16",1
"877","TCF3","WNT16",1
"878","MYC","ACHE",1
"879","MYC","KAT2B",1
"880","SP1","ITGAV",1
"881","SP3","ITGAV",1
"882","NR0B1","ABCD2",1
"883","NR0B1","ABCD3",1
"884","E2F1","CCNE1",1
"885","E2F1","CCND1",1
"886","TP53","YY1",1
"887","YY1","TP53",1
"888","IRF1","CIITA",1
"889","CIITA","IRF1",1
"890","CDX2","GCG",1
"891","POU3F4","GCG",1
"892","SP1","MMP2",1
"893","SP3","MMP2",1
"894","TFAP2A","MMP2",1
"895","CEBPG","MMP2",1
"896","ETV4","MMP2",1
"897","ELF3","FOLH1",1
"898","ELF5","FOLH1",1
"899","ELF3","KLK3",1
"900","ELF5","KLK3",1
"901","ATF2","CDKN1A",1
"902","JUNB","CDKN1A",1
"903","JUND","CDKN1A",1
"904","JUN","PDGFB",1
"905","MYC","CCND2",1
"906","MAX","CCND2",1
"907","MYC","MAX",1
"908","MAX","MYC",-1
"909","MYC","MXD1",1
"910","TCF12","CD4",1
"911","ZEB1","CD4",-1
"912","EGR1","FAS",-1
"913","EGR3","FASLG",1
"914","FLI1","TGFBR2",1
"915","EWSR1","TGFBR2",-1
"916","CEBPB","S100A8",1
"917","CEBPG","S100A8",1
