"","source","target","mor"
"1","MYC","TERT",1
"2","SPI1","BGLAP",1
"3","SMAD3","JUN",1
"4","SMAD4","JUN",1
"5","STAT5A","IL2",1
"6","STAT5B","IL2",1
"7","RELA","FAS",1
"8","WT1","NR0B1",1
"9","NR0B2","CASP1",1
"10","SP1","ALDOA",1
"11","TP53","IGF1R",-1
"12","ZBTB16","CCNA2",-1
"13","ETV6","IL3",-1
"14","RUNX1","IL3",-1
"15","RUNX1","RHD",1
"16","STAT1","CDKN1A",1
"17","STAT3","CDKN1A",1
"18","TP53","POLI",1
"19","ETV4","GGT1",1
"20","MTF1","MCAT",1
"21","CREB1","HMGCS2",1
"22","FOXA2","GCG",1
"23","NFATC2","GCG",1
"24","CEBPB","PCK1",1
"25","FOS","ABCB1",1
"26","RELA","ABCB1",1
"27","TP53","CDKN1A",1
"28","TP53","RB1",-1
"29","E2F1","CDKN1A",1
"30","E2F3","CDKN1A",1
"31","HBP1","CDKN1A",-1
"32","YY1","NR3C1",1
"33","ESR1","MAPK8",1
"34","JUN","MAPK8",1
"35","NR1I3","CYP2B6",1
"36","CEBPG","IVL",1
"37","MAFK","HBB",1
"38","NFE2L3","HBB",1
"39","TP53","ACTA1",1
"40","TP53","BCL2",-1
"41","PHOX2A","DBH",1
"42","STAT4","IL12B",1
"43","STAT4","IFNA1",1
"44","STAT4","IRF1",1
"45","ATF2","IL6",1
"46","WT1","ODC1",1
"47","NR2C2","CCND1",1
"48","IRF3","IFNA1",1
"49","TFAP2A","CCL13",1
"50","HNF1A","IGF1",1
"51","STAT5A","IGF1",1
"52","ETS1","TIMP1",1
"53","ETV4","TIMP1",1
"54","CEBPB","ADRA1D",1
"55","ARNT","CYP1B1",1
"56","AHR","CYP1B1",1
"57","TP53","CCNB1",-1
"58","PAX6","L1CAM",1
"59","CARF","CREBBP",1
"60","STAT5A","CCND1",1
"61","STAT5A","IL3",1
"62","CEBPB","VLDLR",1
"63","NFYA","VLDLR",1
"64","CEBPG","VLDLR",1
"65","TP53","MDM2",1
"66","ZNF148","CDKN1A",1
"67","NFIC","CREBBP",1
"68","NFIC","SRC",1
"69","NFIC","GAL",1
"70","RBPJ","MYOD1",-1
"71","RBPJ","HES1",1
"72","ATF2","CCND1",1
"73","JUN","CCND1",1
"74","FOS","MAPK14",1
"75","GATA4","INHA",1
"76","GATA4","GATA6",1
"77","GATA6","GATA4",1
"78","E2F3","RBL1",1
"79","NFATC2","IL4",1
"80","HNF4A","GUCY2C",1
"81","RXRG","SFTPB",1
"82","RARA","SFTPB",1
"83","JUN","CDKN1A",1
"84","TP53","JUN",1
"85","JUN","TP53",-1
"86","STAT3","PRF1",1
"87","DBP","JTB",1
"88","HLF","JTB",1
"89","HLF","F8",1
"90","PPARG","SERPINE2",1
"91","PPARG","SERPINE1",-1
"92","MAX","PDLIM7",-1
"93","USF2","PDLIM7",1
"94","IRF1","SAMHD1",1
"95","IRF2","SAMHD1",1
"96","IRF1","IFNG",1
"97","IRF1","NOS2",1
"98","IRF2","NOS2",-1
"99","SP1","FASLG",1
"100","SP3","FASLG",1
"101","AR","PRKACA",1
"102","AR","KLK3",1
"103","AR","ARR3",1
"104","CUX1","CFTR",1
"105","ATF1","CFTR",1
"106","KAT7","CFTR",1
"107","CREBZF","GAST",1
"108","SP1","GAST",1
"109","GLI3","GLI1",1
"110","NKX2-5","NPPA",1
"111","GATA4","NPPA",1
"112","TGFB1I1","AR",1
"113","AR","TGFB1I1",1
"114","RARB","MMP11",1
"115","RARG","MMP11",1
"116","RARB","RARG",-1
"117","RARG","RARB",1
"118","JUN","CCL5",1
"119","RELA","CD40",1
"120","RELA","IFNG",1
"121","TEAD1","TGFA",1
"122","TFAP2A","TGFA",1
"123","PPARA","NR1D1",1
"124","ESR2","RARA",1
"125","ESR1","RARA",1
"126","RARA","ESR1",1
"127","NR3C1","IRS2",1
"128","PGR","IRS2",1
"129","NRG1","UTRN",1
"130","NRG1","CHRNE",1
"131","TBP","GTF2A1",1
"132","GTF2A1","TBP",1
"133","REL","NOS2",1
"134","PAX6","KRT12",1
"135","ISL1","NHLH1",1
"136","RARA","KRAS",1
"137","RUNX1","KRAS",1
"138","ZBTB14","MYC",-1
"139","MYB","EPO",1
"140","MYC","EPO",1
"141","SP1","NF1",1
"142","TP53","EIF2AK2",1
"143","PITX1","LHB",1
"144","EGR1","LHB",1
"145","EGR1","PRKCG",1
"146","SP1","MYOD1",1
"147","MYOD1","SP1",-1
"148","FOS","TP53",1
"149","TP53","FOS",-1
"150","ETS2","BCL2L1",1
"151","GTF2I","FOS",1
"152","GTF2I","SMARCA4",1
"153","SP1","FOS",1
"154","YY1","FOS",-1
"155","SP1","EGR1",1
"156","EGR1","SP1",1
"157","NR2F1","EGR1",1
"158","BTAF1","TBP",-1
"159","TBP","BTAF1",1
"160","TBP","DNAH8",1
"161","MYC","ENO1",1
"162","ENO1","MYC",-1
"163","TP53","CCND1",-1
"164","IRF2","ABCC8",1
"165","IRF2","SMC3",1
"166","FOS","RHOA",1
"167","JDP2","LGALS1",1
"168","JUN","DCTN1",1
"169","MAZ","PNMT",1
"170","SP1","PNMT",1
"171","NFIC","PCK1",1
"172","CREB1","PCK1",1
"173","NR4A1","PCK1",1
"174","HMGA1","NOS2",1
"175","RELA","NOS2",1
"176","NFKB1","NOS2",1
"177","DDIT3","CEBPB",-1
"178","CEBPB","DDIT3",1
"179","DDIT3","ATF4",1
"180","ATF4","DDIT3",1
"181","ATF3","ATF4",1
"182","ATF4","ATF3",1
"183","ATF3","DDIT3",1
"184","TAF1","CCNA2",1
"185","RUNX2","BGLAP",1
"186","TFAP2A","FABP2",1
"187","TFAP2B","FABP2",1
"188","ATF2","SELE",1
"189","HMGA1","SELE",1
"190","HNF1A","LCT",1
"191","CREM","LIPE",1
"192","SMAD4","SERPINE1",1
"193","SMAD3","SERPINE1",1
"194","STAT1","IRF8",1
"195","IRF8","STAT1",-1
"196","IRF8","IFNG",1
"197","TP53","S100A2",1
"198","PAX6","GCG",1
"199","TP53","BAX",1
"200","TP53","CCNG1",1
"201","TP53","CHKA",1
"202","TP53","GADD45A",1
"203","ETV5","IFNG",1
"204","STAT4","IFNG",1
"205","DMTF1","CDKN2A",1
"206","TP53","CDKN2A",1
"207","PPARG","LPL",1
"208","SP1","NPR1",1
"209","SP3","NPR1",1
"210","NR5A1","CYP17A1",1
"211","SP1","RAC2",1
"212","SP3","RAC2",1
"213","NEUROD2","ITPR1",1
"214","RUNX1","FOS",1
"215","NEUROD1","AK1",1
"216","FOXO3","FASLG",1
"217","USF1","ADGRE4P",1
"218","USF1","FASN",1
"219","USF1","INS",1
"220","MBD1","FGF2",1
"221","CEBPD","IGF1",1
"222","ELK1","SOD1",1
"223","YY1","SOD1",1
"224","FLI1","GP9",1
"225","FLI1","ITGA2B",1
"226","EGR1","ELK1",1
"227","ELK1","EGR1",1
"228","ELK4","EGR1",1
"229","PREB","PRL",1
"230","PREB","PRKACA",1
"231","POU1F1","PRL",1
"232","POU1F1","PREB",1
"233","PREB","POU1F1",1
"234","POU1F1","PRKACA",1
"235","STAT3","POMC",1
"236","TP53","PTGS2",-1
"237","TBP","PTGS2",1
"238","TP53","TICAM2",1
"239","TBP","RB1",1
"240","PAX5","RB1",1
"241","CREB1","CHGA",1
"242","TFAP2A","ST3GAL4",1
"243","SP1","CLCN2",1
"244","SP3","CLCN2",1
"245","CEBPG","NOS2",1
"246","CEBPB","NOS2",1
"247","CEBPA","ALB",1
"248","TP53","ALOX15",1
"249","LITAF","TNF",1
"250","IRF1","IFNL3",1
"251","IRF2","IFNL3",1
"252","IRF3","IFNL3",1
"253","RELA","IFNL3",1
"254","CREB1","CCND1",1
"255","STAT1","IFNG",1
"256","STAT6","IFNG",-1
"257","JUN","IL6",1
"258","EGR1","IL1B",1
"259","EGR1","IL1A",1
"260","HIF1A","EPO",1
"261","HLF","EPO",1
"262","MYC","CDC25A",1
"263","TFAP2A","NQO1",1
"264","FOS","TGFB1",1
"265","TP53","MMP1",-1
"266","SPI1","REG1A",1
"267","POU1F1","GHRHR",1
"268","ARNT","EPO",1
"269","TP73","MDM2",1
"270","TP73","TP53",1
"271","TP53","TP73",1
"272","MYC","EMP1",1
"273","ESR1","EMP1",1
"274","KLF11","HBG1",1
"275","KLF11","HBB",1
"276","NFATC2","TAT",1
"277","TCF4","SSTR2",1
"278","HIVEP2","SSTR2",1
"279","ESR1","CRYAB",1
"280","TP73","CDKN1A",1
"281","E2F4","E2F1",-1
"282","RUNX1","BCL2",1
"283","POU1F1","TRHR",1
"284","YY1","ACR",1
"285","CREM","FSHB",-1
"286","SP1","CDKN1A",1
"287","GATA5","MYH7",1
"288","GATA4","MYH7",1
"289","GATA4","SLC8A1",1
"290","SRF","SLC8A1",1
"291","ELF1","IL5",1
"292","ETS2","IL5",1
"293","GATA3","IL5",1
"294","ETS1","IL5",1
"295","SP1","TGFB1",1
"296","TBP","CREBBP",1
"297","OTX2","NCAM1",1
"298","LHX2","PCYT1A",1
"299","SP1","PCYT1A",1
"300","DDIT3","HSPA5",1
"301","FOS","OXTR",1
"302","GABPA","OXTR",1
"303","JUN","OXTR",1
"304","TP53","NGF",1
"305","REL","IL2RA",1
"306","FOS","AGTR2",1
"307","HSF2","HSP90B2P",1
"308","SP1","LDLR",1
"309","YY1","LDLR",-1
"310","CEBPA","PCK1",1
"311","WT1","CDKN1A",1
"312","VDR","RARB",1
"313","HOXC8","SMAD1",1
"314","HR","IGFBP1",1
"315","ATF1","CAT",1
"316","RELB","SRC",1
"317","FOS","ERCC1",1
"318","YY1","CXCR4",-1
"319","MYC","CXCR4",1
"320","USF1","CXCR4",1
"321","CUX1","NOS2",1
"322","CUX1","PI3",1
"323","CREB1","ANG",1
"324","NR5A1","SF1",1
"325","TP53","ITSN1",1
"326","CEBPE","ELANE",1
"327","DDIT3","EPO",1
"328","NR5A1","LHB",1
"329","NR0B1","LHB",-1
"330","ATF2","TNF",1
"331","JUN","TNF",1
"332","GATA4","ADORA1",1
"333","NKX2-5","ADORA1",1
"334","AR","ACOT11",1
"335","GATA4","ACOT11",1
"336","GATA4","AR",1
"337","NKX2-5","ACOT11",1
"338","NKX2-5","AR",1
"339","CEBPB","KRAS",1
"340","YY1","HMGCS2",-1
"341","LEF1","CCND1",1
"342","PAX6","SST",1
"343","CEBPB","STAR",1
"344","NR5A1","STAR",1
"345","POU1F1","FOS",1
"346","POU1F1","SSTR5",1
"347","EGR1","CISH",1
"348","NR5A1","RHD",1
"349","SRF","FOS",1
"350","FOS","TF",1
"351","ID1","FOS",-1
"352","ZNF143","STUB1",1
"353","MYC","CDKN1A",-1
"354","JUN","IL2",1
"355","SOX9","MIA",1
"356","IRF2","CDKN1A",1
"357","IRF1","IFNA1",1
"358","IRF2","IFNA1",1
"359","IRF1","IRF2",1
"360","IRF2","IRF1",1
"361","LITAF","MDM2",1
"362","LITAF","MRPL41",1
"363","LITAF","PIK3R1",1
"364","TP53","LITAF",1
"365","LITAF","TP53",1
"366","TP53","BTG2",1
"367","TP53","GREM1",1
"368","TP53","MRPL41",1
"369","TP53","PIK3R1",1
"370","SP3","CDKN1A",1
"371","TP53","PCNA",1
"372","STAT1","IFNB1",-1
"373","JUN","ATF2",1
"374","ATF2","JUN",1
"375","ATF2","TNFRSF11A",1
"376","JUN","TNFRSF11A",1
"377","YBX1","ERCC2",1
"378","YBX1","ERCC3",1
"379","YBX1","XRCC1",1
"380","HSF1","CXCL8",1
"381","HSF1","ICAM1",1
"382","HSF1","IL6",1
"383","HSF1","TNF",1
"384","HSF1","IL1B",1
"385","PPARA","UCP3",1
"386","REL","JAG1",1
"387","RELA","JAG1",1
"388","HES1","FCER1G",1
"389","EGR1","F3",1
"390","SRF","EGR1",1
"391","EGR1","SRF",1
"392","FOXE1","TPO",1
"393","POU4F1","BCL2",1
"394","NOTO","BTK",1
"395","HNF4A","SERPINA1",1
"396","HNF1A","SERPINA1",1
"397","HNF1B","SERPINA1",1
"398","SOX9","EPYC",1
"399","PAX3","FGF2",1
"400","ID2","HBG1",1
"401","JUN","CSF2",1
"402","NFATC2","CSF2",1
"403","VDR","CSF2",-1
"404","MEF2A","JUN",1
"405","GATA6","NPPA",1
"406","SP140","IFNG",1
"407","RUNX2","MMP13",1
"408","YBX1","MMP13",-1
"409","FLI1","EPO",1
"410","FLI1","RB1",1
"411","FLI1","CFC1",1
"412","PDX1","CHKA",1
"413","PDX1","INS",1
"414","HNF1A","HNF4A",1
"415","HNF4A","HNF1A",1
"416","NR2F2","HNF1A",1
"417","HNF1A","INS",1
"418","NR1H4","CYP7A1",-1
"419","ASCL1","NGF",1
"420","HES1","NGF",1
"421","RFX1","PCNA",-1
"422","CRX","SAG",1
"423","NRL","SAG",1
"424","E2F1","DHFR",1
"425","TBP","DHFR",1
"426","PAX5","IL2",1
"427","USF1","JCHAIN",1
"428","NR5A1","GRIN2C",1
"429","JDP2","POLI",1
"430","UBTF","POLI",1
"431","JUN","THBS1",1
"432","WT1","THBS1",1
"433","SP1","IGFBP4",1
"434","ESR2","PRL",1
"435","NR5A1","CTLA4",1
"436","MYBL2","BCL2",1
"437","ELF2","TEK",1
"438","ELF1","CD4",1
"439","AR","NCOA4",1
"440","NCOA4","AR",1
"441","NR2C2","CYP24A1",-1
"442","TP53","NDN",1
"443","ZNF571","TRIM28",1
"444","MAX","TP53",1
"445","MYC","TP53",1
"446","TP53","MYC",-1
